time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446550000	17.5097	5.62414	5.00236	0.863208	0.417325	radar	3.29801	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7006	5.75542	4.96948	0.857509	0.389657	lidar	1.54315	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8447	5.9514	4.93069	0.888602	0.408037	radar	1.30615	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0183	6.14365	4.94742	0.903591	0.402098	lidar	0.645903	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1676	6.35039	4.95492	0.927997	0.407131	radar	0.7062	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2903	6.58641	4.97505	0.965437	0.424893	lidar	0.690433	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4222	6.79907	4.96641	0.992886	0.433921	radar	0.326115	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5684	6.94232	4.90217	0.992296	0.411335	lidar	2.02533	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7162	7.14927	4.9309	1.00487	0.398841	radar	0.559662	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9098	7.29323	4.90087	0.988606	0.361326	lidar	3.95838	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9991	7.49771	4.83383	1.02633	0.390401	radar	4.19337	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0923	7.75552	4.87254	1.06787	0.413009	lidar	1.20025	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2122	7.96378	4.87189	1.08455	0.40789	radar	0.270051	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.2923	8.17898	4.8507	1.1143	0.417799	lidar	1.48038	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3905	8.39067	4.85064	1.13227	0.411235	radar	2.28794	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4843	8.54256	4.76151	1.13879	0.397647	lidar	4.05249	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5749	8.75259	4.739	1.16178	0.403922	radar	0.606624	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7341	8.92875	4.72186	1.1507	0.371951	lidar	4.17818	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8079	9.15087	4.69918	1.18226	0.391074	radar	1.02299	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9376	9.37461	4.72778	1.18872	0.377418	lidar	2.90867	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9845	9.59632	4.67959	1.22973	0.410256	radar	2.82562	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0726	9.83369	4.70633	1.24936	0.409148	lidar	0.670059	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1329	10.0812	4.74144	1.27577	0.411903	radar	7.08122	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1826	10.3497	4.78926	1.30993	0.425283	lidar	0.871663	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2008	10.5837	4.75376	1.35388	0.45769	radar	3.1914	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2599	10.8548	4.80956	1.37954	0.459903	lidar	1.95215	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2892	11.1092	4.83303	1.40911	0.464958	radar	4.89864	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3234	11.3486	4.83345	1.43307	0.465665	lidar	0.00271104	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2738	11.5939	4.78251	1.50275	0.532343	radar	11.5632	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3442	11.8369	4.79956	1.50923	0.51197	lidar	4.43989	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3676	12.0714	4.81521	1.51982	0.484955	radar	3.36889	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3553	12.3566	4.87599	1.55651	0.496357	lidar	1.21561	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3079	12.5938	4.83804	1.61108	0.541784	radar	3.74102	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3319	12.8355	4.83991	1.62473	0.528481	lidar	1.64527	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3187	13.0667	4.82035	1.65234	0.533608	radar	2.14061	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2836	13.2825	4.78643	1.68205	0.537165	lidar	1.09846	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2444	13.5166	4.78513	1.71049	0.536694	radar	1.283	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2234	13.7755	4.81591	1.73249	0.531423	lidar	1.21833	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1678	14.0027	4.79706	1.76879	0.547441	radar	0.990396	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.1125	14.258	4.82802	1.79817	0.54888	lidar	0.353016	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0406	14.4863	4.8226	1.83085	0.554201	radar	1.43666	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9328	14.7404	4.8654	1.87351	0.568036	lidar	1.39071	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8653	14.9582	4.84905	1.89366	0.553245	radar	3.31288	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8321	15.1781	4.82055	1.90511	0.538026	lidar	1.99905	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7019	15.3892	4.79531	1.97367	0.60965	radar	8.42719	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6704	15.581	4.72958	1.9828	0.590119	lidar	3.39231	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5754	15.7865	4.71539	2.01113	0.588182	radar	1.32344	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4718	16.0003	4.71843	2.04036	0.587952	lidar	0.00537204	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.369	16.2082	4.7172	2.05983	0.56858	radar	1.71795	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2589	16.3869	4.67744	2.08977	0.570775	lidar	0.74571	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1404	16.5838	4.6709	2.11999	0.57427	radar	0.288074	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0103	16.7932	4.69043	2.14905	0.574252	lidar	0.120741	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8542	16.9863	4.70168	2.20339	0.621184	radar	6.80036	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6824	17.2196	4.78246	2.23759	0.622706	lidar	1.81682	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5773	17.4222	4.76884	2.23069	0.558735	radar	5.87928	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3643	17.6126	4.82327	2.27762	0.575852	lidar	3.94788	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2278	17.8026	4.81494	2.28506	0.538401	radar	2.55241	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0939	17.9883	4.80078	2.30323	0.530343	lidar	0.890732	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.919	18.1446	4.78761	2.34328	0.551919	radar	1.84344	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7853	18.2882	4.72589	2.36573	0.548122	lidar	1.08378	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6514	18.4692	4.71164	2.37431	0.52381	radar	6.76926	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4568	18.649	4.75438	2.40287	0.52533	lidar	0.485947	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
