time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010448600000	19.9842	14.7903	4.89569	1.88946	0.595605	lidar	2.79932	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448700000	19.8853	15.2411	4.86785	1.92043	0.566217	lidar	1.29672	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448800000	19.7729	15.6614	4.80137	1.95133	0.540513	lidar	1.95374	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448900000	19.5449	16.0758	4.77993	2.02403	0.560343	lidar	0.605537	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010449000000	19.2899	16.438	4.71179	2.10218	0.584484	lidar	1.87528	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449100000	19.0279	16.836	4.71788	2.16552	0.589482	lidar	0.041094	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449200000	18.7139	17.2575	4.7948	2.23254	0.596632	lidar	1.52757	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449300000	18.3092	17.5953	4.82905	2.33694	0.642616	lidar	2.95451	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449400000	18.0446	17.9732	4.8116	2.36159	0.601711	lidar	2.16845	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449500000	17.7534	18.2863	4.74009	2.40428	0.584768	lidar	1.62561	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449600000	17.3958	18.6251	4.77242	2.45338	0.574519	lidar	0.389171	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449700000	17.0645	18.915	4.72348	2.49693	0.560843	lidar	0.819145	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449800000	16.6427	19.143	4.71912	2.57837	0.587162	lidar	0.876383	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449900000	16.2461	19.4529	4.77384	2.61116	0.559527	lidar	1.71097	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010450000000	15.8634	19.7438	4.7854	2.63643	0.527586	lidar	1.31617	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450100000	15.4466	20.0316	4.83143	2.66306	0.49993	lidar	1.48787	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450200000	15.0733	20.312	4.80863	2.67346	0.459164	lidar	2.17598	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450300000	14.6508	20.5483	4.81618	2.7059	0.445126	lidar	0.260613	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450400000	14.1614	20.6878	4.84283	2.78114	0.476734	lidar	1.40146	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450500000	13.6366	20.7996	4.90277	2.86067	0.509187	lidar	2.16685	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450600000	13.145	20.8907	4.90891	2.92758	0.525741	lidar	0.349157	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450700000	12.7206	21.0138	4.84521	2.95878	0.504364	lidar	1.57366	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450800000	12.2338	21.0955	4.86011	3.00798	0.502867	lidar	0.0578188	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450900000	11.7272	21.0517	4.86177	3.10112	0.547494	lidar	2.48914	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010451000000	11.2727	21.0637	4.81864	3.15095	0.543018	lidar	0.488754	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451100000	10.8153	21.007	4.77815	3.22069	0.559755	lidar	0.752115	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451200000	10.3043	21.0404	4.83789	3.24122	0.521849	lidar	2.6741	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451300000	9.86798	20.98	4.77506	3.29294	0.52231	lidar	0.977085	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451400000	9.43396	20.8888	4.72395	3.3487	0.526712	lidar	0.668453	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451500000	8.90644	20.7959	4.82146	3.39187	0.515492	lidar	2.50273	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451600000	8.38964	20.6062	4.91205	3.46561	0.537347	lidar	2.61801	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451700000	7.9179	20.4425	4.92652	3.51634	0.534025	lidar	0.0651853	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451800000	7.38905	20.3042	5.01322	3.53915	0.500933	lidar	3.19561	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451900000	6.89995	20.1312	5.04402	3.57188	0.482417	lidar	0.651619	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010452000000	6.4291	19.9466	5.05056	3.60279	0.464252	lidar	0.411837	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452100000	5.94682	19.7555	5.07467	3.62637	0.440115	lidar	0.859569	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452200000	5.55136	19.525	5.00197	3.67227	0.442838	lidar	1.30874	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452300000	5.13164	19.3193	4.95792	3.69595	0.421702	lidar	1.02214	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452400000	4.7663	19.0212	4.9136	3.75847	0.443445	lidar	1.09327	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452500000	4.39465	18.7586	4.86332	3.79642	0.437233	lidar	0.668177	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452600000	4.08306	18.4531	4.78241	3.85568	0.454377	lidar	2.00209	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
1477010452700000	3.65266	18.1538	4.85506	3.87493	0.4261	lidar	2.3437	3.45919	18.167	3.65611	18.0807	-3.77339	-3.33732
1477010452800000	3.25329	17.8066	4.92171	3.91083	0.418329	lidar	1.17561	3.12525	17.7493	3.28449	17.7402	-3.66215	-3.47331
1477010452900000	2.90271	17.565	4.82615	3.91545	0.380273	lidar	4.05248	2.9449	17.8154	2.92405	17.3866	-3.54982	-3.60167
1477010453000000	2.56741	17.1809	4.8625	3.96764	0.394781	lidar	0.585215	2.55407	17.0853	2.57486	17.0205	-3.437	-3.72251
1477010453100000	2.24713	16.8218	4.85622	4.00621	0.393885	lidar	0.0106894	2.25371	16.8334	2.23695	16.6427	-3.32428	-3.83595
1477010453200000	1.94016	16.3476	4.95914	4.07611	0.424821	lidar	3.78669	1.88972	16.1054	1.91027	16.254	-3.21219	-3.94216
1477010453300000	1.58576	15.9942	4.97029	4.08198	0.386428	lidar	1.84827	1.44745	16.0853	1.59474	15.8549	-3.10129	-4.04132
1477010453400000	1.27261	15.5467	5.04273	4.12287	0.388049	lidar	1.29858	1.18395	15.4284	1.29021	15.4463	-2.99207	-4.13364
1477010453500000	0.920128	15.1023	5.13832	4.14024	0.364676	lidar	2.92576	0.722706	15.0075	0.996486	15.0288	-2.88503	-4.21933
1477010453600000	0.675748	14.673	5.10811	4.18355	0.372127	lidar	0.292997	0.737301	14.7047	0.71333	14.603	-2.78061	-4.29864
1477010453700000	0.372836	14.2286	5.15099	4.20201	0.352058	lidar	0.947712	0.253435	14.2029	0.440459	14.1696	-2.67925	-4.37181
1477010453800000	0.239098	13.7354	5.11492	4.28473	0.402291	lidar	3.4236	0.459172	13.6856	0.177545	13.7292	-2.58135	-4.43909
1477010453900000	-0.037528	13.2813	5.14973	4.29518	0.370609	lidar	1.54534	-0.190344	13.2856	-0.0757753	13.2823	-2.48728	-4.50075
1477010454000000	-0.149729	12.8295	5.06186	4.35975	0.400497	lidar	3.0171	0.0462308	12.9301	-0.319903	12.8295	-2.39739	-4.55704
1477010454100000	-0.368199	12.3608	5.08303	4.37816	0.377429	lidar	0.779527	-0.476482	12.3633	-0.555273	12.3714	-2.31202	-4.60823
1477010454200000	-0.550018	11.9231	5.03697	4.39903	0.360075	lidar	0.905705	-0.582624	12.0386	-0.78235	11.9083	-2.23144	-4.65456
1477010454300000	-0.852504	11.4459	5.1144	4.3741	0.29487	lidar	6.84731	-1.17212	11.3988	-1.00163	11.4409	-2.15594	-4.69628
1477010454400000	-1.14336	10.995	5.1342	4.34858	0.23648	lidar	4.36239	-1.39289	11.0424	-1.21362	10.9695	-2.08575	-4.73364
1477010454500000	-1.37619	10.4945	5.18872	4.3533	0.216199	lidar	1.25937	-1.49687	10.4198	-1.41889	10.4945	-2.02111	-4.76686
1477010454600000	-1.58254	10.0705	5.11713	4.35414	0.194329	lidar	1.81139	-1.61875	10.2374	-1.61797	10.0165	-1.96221	-4.79615
1477010454700000	-1.75322	9.62211	5.07152	4.37038	0.191003	lidar	0.520734	-1.73381	9.71347	-1.81147	9.53564	-1.90924	-4.82172
1477010454800000	-1.9135	9.04522	5.20341	4.40558	0.207905	lidar	4.58035	-1.93833	8.77028	-1.99998	9.05243	-1.86233	-4.84374
1477010454900000	-2.10266	8.54974	5.21887	4.41157	0.192175	lidar	0.370252	-2.1768	8.5411	-2.18412	8.56717	-1.82164	-4.86238
1477010455000000	-2.24401	8.07653	5.17912	4.43056	0.192042	lidar	0.389283	-2.21875	8.15339	-2.3645	8.0802	-1.78726	-4.87778
1477010455100000	-2.45632	7.59089	5.19368	4.41944	0.1598	lidar	1.34658	-2.59674	7.60288	-2.54177	7.59184	-1.75931	-4.89006
1477010455200000	-2.66811	7.09101	5.2248	4.40977	0.132471	lidar	1.17512	-2.79865	7.064	-2.71658	7.10238	-1.73786	-4.89933
1477010455300000	-2.80296	6.66222	5.11976	4.42119	0.130733	lidar	2.72492	-2.74651	6.86867	-2.88957	6.61214	-1.72295	-4.90566
1477010455400000	-2.93308	6.18551	5.09457	4.43786	0.134592	lidar	0.17623	-2.90217	6.22989	-3.0614	6.12139	-1.71464	-4.90911
1477010455500000	-3.10069	5.65501	5.16354	4.443	0.125626	lidar	1.28011	-3.1778	5.53101	-3.23274	5.63043	-1.71295	-4.9097
1477010455600000	-3.29978	5.14853	5.20148	4.43081	0.0992354	lidar	1.23455	-3.43031	5.10507	-3.40424	5.13955	-1.71787	-4.90745
1477010455700000	-3.52437	4.62228	5.27147	4.411	0.0675106	lidar	2.47453	-3.69435	4.52196	-3.57657	4.64902	-1.72939	-4.90233
1477010455800000	-3.78753	4.10881	5.32976	4.37609	0.0231221	lidar	3.28722	-4.00238	4.04684	-3.75039	4.15913	-1.74749	-4.8943
1477010455900000	-3.93863	3.64188	5.26991	4.38346	0.0284217	lidar	0.923341	-3.88053	3.75177	-3.92635	3.67019	-1.77212	-4.8833
1477010456000000	-4.12493	3.16472	5.24797	4.37707	0.0185289	lidar	0.23654	-4.15119	3.21968	-4.10509	3.18248	-1.8032	-4.86925
1477010456100000	-4.30285	2.63912	5.2927	4.38048	0.0202916	lidar	0.497138	-4.32451	2.55034	-4.28727	2.69633	-1.84065	-4.85202
1477010456200000	-4.5201	2.13085	5.32489	4.36599	0.00271824	lidar	0.645339	-4.61223	2.09192	-4.47352	2.21205	-1.88436	-4.83149
1477010456300000	-4.75484	1.61038	5.37795	4.34803	-0.0166619	lidar	1.17014	-4.86829	1.53442	-4.66444	1.72998	-1.93422	-4.80751
1477010456400000	-4.85713	1.14677	5.28267	4.37548	0.0142786	lidar	3.45028	-4.66779	1.28643	-4.86066	1.25049	-1.99007	-4.7799
1477010456500000	-4.97673	0.689868	5.20002	4.39221	0.0305487	lidar	2.02166	-4.85498	0.825661	-5.06277	0.77393	-2.05174	-4.74848
1477010456600000	-5.13572	0.212108	5.17703	4.39465	0.0298985	lidar	0.131056	-5.1231	0.257311	-5.27133	0.300706	-2.11906	-4.71303
1477010456700000	-5.29952	-0.261823	5.15439	4.3942	0.0262399	lidar	0.144039	-5.29972	-0.212982	-5.4869	-0.168772	-2.1918	-4.67335
1477010456800000	-5.60106	-0.659916	5.09474	4.33034	-0.0447617	lidar	7.32254	-5.85359	-0.445801	-5.71001	-0.634069	-2.26974	-4.62919
1477010456900000	-5.81678	-1.16515	5.15271	4.32078	-0.0501189	lidar	0.866819	-5.87835	-1.26863	-5.94118	-1.09472	-2.35262	-4.58032
1477010457000000	-6.10457	-1.59797	5.14071	4.27488	-0.093802	lidar	2.44456	-6.27263	-1.50938	-6.18087	-1.55025	-2.44014	-4.52648
1477010457100000	-6.32712	-2.08136	5.16834	4.26735	-0.0917028	lidar	0.193648	-6.34007	-2.13685	-6.42954	-2.00014	-2.532	-4.46742
1477010457200000	-6.635	-2.51129	5.16874	4.22074	-0.131606	lidar	1.98624	-6.79288	-2.4458	-6.68761	-2.44386	-2.62788	-4.40288
1477010457300000	-6.84992	-3.00425	5.20185	4.22628	-0.111485	lidar	0.763954	-6.8003	-3.10086	-6.95546	-2.88084	-2.7274	-4.3326
1477010457400000	-7.11116	-3.40778	5.14045	4.19954	-0.128442	lidar	1.2732	-7.12118	-3.26434	-7.23344	-3.3105	-2.83017	-4.25632
1477010457500000	-7.42056	-3.75021	5.04213	4.14747	-0.170716	lidar	4.56511	-7.49009	-3.49081	-7.52184	-3.73223	-2.93579	-4.1738
1477010457600000	-7.7494	-4.20001	5.11488	4.11532	-0.186216	lidar	1.62952	-7.88049	-4.29783	-7.82094	-4.14538	-3.04381	-4.08479
1477010457700000	-8.09258	-4.66147	5.20539	4.0866	-0.196248	lidar	2.16785	-8.22492	-4.79812	-8.13095	-4.5493	-3.15376	-3.98906
1477010457800000	-8.37907	-5.08989	5.20073	4.07698	-0.18566	lidar	0.145698	-8.33552	-5.1059	-8.45204	-4.94331	-3.26514	-3.88641
1477010457900000	-8.76197	-5.49869	5.2498	4.03244	-0.212886	lidar	1.52865	-8.91477	-5.51752	-8.78433	-5.32669	-3.37745	-3.77663
1477010458000000	-9.08087	-5.87723	5.20667	4.01025	-0.214184	lidar	0.461578	-9.03391	-5.80267	-9.12788	-5.69872	-3.49012	-3.65955
1477010458100000	-9.40625	-6.14777	5.05083	3.96378	-0.242014	lidar	6.92979	-9.30811	-5.82368	-9.4827	-6.05868	-3.60261	-3.53503
1477010458200000	-9.71212	-6.53242	5.03446	3.95809	-0.222503	lidar	0.551152	-9.62547	-6.55958	-9.84874	-6.4058	-3.71431	-3.40295
